Button Clicked	State After Click	Buttons Visible Next	Why
Host	Host seated / room preparing	Open Table, Close Table	The host is on the floor, but the table is not open yet.
Open Table	Table open / board on deck	Set the Felt, Close Table	The room is open, but cards are not on the felt yet.
Set the Felt	Table ready	Open Play, Close Table	The cards are down and the table is ready for live action.
Open Play	Live round active	Hold Draw, Call Next Ball	Live action is running. The host can either keep the draw moving or freeze it.
Call Next Ball	Live round still active	Hold Draw, Call Next Ball	Calling a ball does not change the state. The round stays live.
Hold Draw	Round frozen / locked	Resume Draw, Bingo, Clear Felt	The action is stopped, so the host can now either resume, confirm a bingo, or clear the table.
Resume Draw	Live round active again	Hold Draw, Call Next Ball	Resuming returns the round to live motion.
Bingo	Round closed / win locked	Load Next Set, Close Table	The winning round is complete. The next step is either load the next set or end the table session.
Clear Felt	Table open / no cards on felt	Set the Felt, Close Table	The cards are swept, but the room is still open.
Load Next Set	Next set loaded / table ready	Open Play, Close Table	A new set is now ready for the next round.
Close Table	Table closed / no session	Host	Everything is shut down. Start over with Host.
